Year,Number of Storms
1955,631
1956,566
1957,929
1958,607
1959,629
1960,644
1961,771
1962,672
1963,492
1964,759
1965,989
1966,605
1967,965
1968,714
1969,649
1970,699
1971,962
1972,777
1973,1197
1974,1119
1975,961
1976,934
1977,921
1978,874
1979,917
1980,971
1981,829
1982,1179
1983,994
1984,1019
1985,772
1986,848
1987,694
1988,772
1989,920
1990,1263
1991,1207
1992,1403
1993,621
1994,951
1995,1248
1996,1269
1997,1189
1998,1592
1999,1630
2000,1234
2001,1417
2002,1094
2003,1574
2004,2207
2005,1397
2006,1428
2007,1603
2008,2102
2009,1484
2010,1904
2011,2610
2012,1275
2013,1217
2014,1208
2015,1637
2016,1253
2017,1846
2018,1342
2019,2003
2020,1453
2021,1946
2022,1193
